AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
RAND JOURNAL OF ECONOMICS                                                                                                                                                                                79.1175                1600
SKELETAL DEVELOPMENT AND REMODELING IN HEALTH, DISEASE, AND AGING                                                                                                                                        79.0962                  52
PROTECTIVE STRATEGIES FOR NEURODEGENERATIVE DISEASES                                                                                                                                                     78.9                     20
Advanced Electronic Materials                                                                                                                                                                            78.8333                   6
BIRD HORMONES AND BIRD MIGRATIONS: ANALYZING HORMONES IN DROPPINGS AND EGG YOLKS AND ASSESSING ADAPTATIONS IN LONG-DISTANCE MIGRATION                                                                    78.5909                  22
IMAGING AND THE AGING BRAIN                                                                                                                                                                              78.32                    25
AMERICAN JOURNAL OF POLITICAL SCIENCE                                                                                                                                                                    78.1561                2863
LYMPHATIC CONTINUUM REVISITED                                                                                                                                                                            78.0435                  23
TISSUE REMODELING                                                                                                                                                                                        77.35                    20
TRENDS AND DIRECTIONS IN CLIMATE RESEARCH                                                                                                                                                                77                       13
STEM CELL BIOLOGY: DEVELOPMENT AND PLASTICITY                                                                                                                                                            76.7222                  18
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS                                                                                                                                                           76.2321                3106
CHILD DEVELOPMENT                                                                                                                                                                                        76.0743                9992
LIMNOLOGY AND OCEANOGRAPHY                                                                                                                                                                               76.022                10848
