ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"36.70.255.140","elite","AS7713","ID","PT. Telekomunikasi Indonesia","352","N/A","8080","socks5","5001","1","2023-10-18T11:26:20.334Z","82","3569","4363"
"119.18.145.147","elite","AS45326","BD","BBTS Network","173","N/A","45326","socks5","5298","1","2023-10-18T11:26:20.251Z","100","4367","4387"
"43.154.49.67","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","285","Tencent Cloud Computing","9999","socks5","4997","1","2023-10-18T11:26:20.335Z","99","4277","4309"
"104.16.104.12","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4800","1","2023-10-18T11:26:20.249Z","100","4352","4353"
"165.154.66.124","elite","AS135377","HK","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","196","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","6666","socks5","3904","1","2023-10-18T11:26:19.945Z","8","372","4404"
"36.37.93.98","elite","AS4800","ID","PT Aplikanusa Lintasarta","281","LA SII","4145","socks4","4400","1","2023-10-18T11:26:19.944Z","95","4119","4323"
"197.234.13.66","elite","AS36902","SC","Intelvision","191","Intelvision Ltd","4145","socks4","3823","1","2023-10-18T11:26:19.943Z","100","4346","4365"
"163.53.83.124","elite","AS45433","IN","Kay Kay Softech Private Limited","199","Kappa  Private Limited","5678","socks4","3998","1","2023-10-18T11:26:18.450Z","73","3186","4338"
"47.57.246.250","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","406","Alibaba.com LLC","53213","socks5","5303","1","2023-10-18T11:26:18.534Z","76","3330","4398"
"190.210.186.241","elite","AS16814","AR","NSS S.A.","286","Argentina Virtual Networks","80","socks5","5010","1","2023-10-18T11:26:16.451Z","100","4408","4419"
"185.169.181.14","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","3914","1","2023-10-18T11:26:16.545Z","100","4401","4405"
"190.180.35.148","elite","AS25620","BO","Cotas Ltda.","193","Cablemodem-ip-dinamica - Generico IP Cmts HMC","5678","socks4","5194","1","2023-10-18T11:26:16.537Z","99","4382","4418"
"186.251.255.149","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","281","Seanet Telecom Carazinho Eireli","31337","socks4","3109","1","2023-10-18T11:26:16.536Z","99","4345","4375"
