AVERAGE CITATIONS PER YEAR - line
  Publish Year    Ave. Citations    No. of Papers
JOURNAL OF HAZARDOUS MATERIALS                                                                              50.7571                70
JOURNAL OF RADIATION RESEARCH AND APPLIED SCIENCES                                                          50.4444                 9
EMERGING MARKETS REVIEW                                                                                     50.1429                 7
CURRENT OPINION IN PSYCHOLOGY                                                                               50.125                 16
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS                                                       50.0256                39
FOOD RESEARCH INTERNATIONAL                                                                                 49.75                 120
AGRICULTURE ECOSYSTEMS & ENVIRONMENT                                                                        49.0595                84
JOURNAL OF HYDROLOGY                                                                                        48.5167               209
AGRICULTURAL AND FOREST METEOROLOGY                                                                         48.4478                67
COMPUTER SCIENCE REVIEW                                                                                     48.4                    5
FOOD PACKAGING AND SHELF LIFE                                                                               48.3846                13
ECONOMIC SYSTEMS                                                                                            48.3333                 6
FOREST POLICY AND ECONOMICS                                                                                 48.28                  25
COMPUTATIONAL AND THEORETICAL CHEMISTRY                                                                     48.2093                43
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING                                                          48.2059                34
ADVANCES IN ACCOUNTING                                                                                      48                      6
JHEP REPORTS                                                                                                47.8333                 6
INTERNATIONAL JOURNAL OF DRUG POLICY                                                                        47.5312                32
INTERNATIONAL JOURNAL OF PHARMACEUTICS-X                                                                    47.5                    2
COGNITIVE SYSTEMS RESEARCH                                                                                  47.1                   10
AGRICULTURAL WATER MANAGEMENT                                                                               46.0263                76
JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS                                                  45.8036                56
ENERGY ECONOMICS                                                                                            45.6066                61
CURRENT RESEARCH IN FOOD SCIENCE                                                                            45.1667                 6
BODY IMAGE                                                                                                  44.8                   15
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE                                                    44.2424                33
EUROPEAN JOURNAL OF TRAUMA & DISSOCIATION                                                                   44                      3
JOURNAL OF BIOLOGICAL CHEMISTRY                                                                             43.9757               329
JOURNAL OF AFFECTIVE DISORDERS                                                                              43.9017               173
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS                                                               43.7273                11
JOURNAL OF KING SAUD UNIVERSITY SCIENCE                                                                     43.4783                23
FIELD CROPS RESEARCH                                                                                        43.2381                63
POETICS                                                                                                     42.4                   15
ECONOMICS & HUMAN BIOLOGY                                                                                   42.3636                11
COLLOIDS AND SURFACES B-BIOINTERFACES                                                                       42.281                121
HUMAN MOVEMENT SCIENCE                                                                                      42.2069                29
AIN SHAMS ENGINEERING JOURNAL                                                                               42.1905                21
FISHERIES RESEARCH                                                                                          41.9692                65
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE                                                      41.8889                45
JOURNAL OF HEALTH ECONOMICS                                                                                 41.88                  25
BRAIN, BEHAVIOR, & IMMUNITY - HEALTH                                                                        41.8                    5
CONTACT LENS & ANTERIOR EYE                                                                                 41.3846                13
ECONOMIC MODELLING                                                                                          40.6909                55
ANIMAL                                                                                                      40.2                   45
COMPUTER NETWORKS                                                                                           40.0323                62
BLOCKCHAIN-RESEARCH AND APPLICATIONS                                                                        40                      1
JOURNAL OF INTEGRATIVE MEDICINE-JIM                                                                         40                      6
INTERNET OF THINGS                                                                                          39.625                  8
JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES                                           39.45                  20
JOURNAL OF SAUDI CHEMICAL SOCIETY                                                                           39.4                   15
ACTA PSYCHOLOGICA                                                                                           39.1475                61
BONE REPORTS                                                                                                38                      4
COMPUTATIONAL MATERIALS SCIENCE                                                                             38                    117
JOURNAL OF INFORMATION SECURITY AND APPLICATIONS                                                            37.9167                12
DATA & KNOWLEDGE ENGINEERING                                                                                37.7                   10
CASE STUDIES ON TRANSPORT POLICY                                                                            37.6667                12
EXTREME MECHANICS LETTERS                                                                                   37.5385                13
JOURNAL OF HYDROLOGY-REGIONAL STUDIES                                                                       37.5333                15
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS                                             37.4778                90
BIOPHYSICAL CHEMISTRY                                                                                       37.0364                55
ANIMAL FEED SCIENCE AND TECHNOLOGY                                                                          36.9857                70
ADVANCED POWDER TECHNOLOGY                                                                                  36.9107                56
COMPUTERS IN HUMAN BEHAVIOR REPORTS                                                                         36.6667                 3
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS                                                               36.4487                78
BIOMEDICAL JOURNAL                                                                                          36.4286                 7
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS                                                                 36.4138                58
EUROPEAN JOURNAL OF RADIOLOGY OPEN                                                                          36.4                    5
BRAIN RESEARCH                                                                                              36.1536               586
EATING BEHAVIORS                                                                                            36                     13
BIOLOGICAL PSYCHOLOGY                                                                                       35.9717               106
FOOD WEBS                                                                                                   35.6667                 3
CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY                                                          35.5                    8
ALEXANDRIA ENGINEERING JOURNAL                                                                              35.4318                44
JOURNAL OF SYSTEMS ARCHITECTURE                                                                             35.2174                23
FOOD AND BIOPRODUCTS PROCESSING                                                                             35.0455                22
FLUID PHASE EQUILIBRIA                                                                                      35.0333               120
JOURNAL OF SUPERCRITICAL FLUIDS                                                                             34.8302                53
GROUNDWATER FOR SUSTAINABLE DEVELOPMENT                                                                     34.75                  20
JOURNAL OF LIPID RESEARCH                                                                                   34.5                   20
JOURNAL OF HYDRO-ENVIRONMENT RESEARCH                                                                       34.3333                 6
ECONOMICS OF TRANSPORTATION                                                                                 34                      2
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION                                                33.8923                65
BEHAVIOURAL PROCESSES                                                                                       33.6042                48
COLLEGIAN                                                                                                   32.8                   10
EUROPEAN ECONOMIC REVIEW                                                                                    32.6735                49
JOURNAL OF APPLIED GEOPHYSICS                                                                               32.175                 40
JOURNAL OF POWER SOURCES                                                                                    31.0625                80
CURRENT APPLIED PHYSICS                                                                                     30.9655                58
FORENSIC CHEMISTRY                                                                                          30.5                    6
BLOOD ADVANCES                                                                                              30.2632                38
FINITE ELEMENTS IN ANALYSIS AND DESIGN                                                                      29.75                  24
BIOCYBERNETICS AND BIOMEDICAL ENGINEERING                                                                   29.6667                 9
COMPUTER COMMUNICATIONS                                                                                     29.5405                74
FOOD STRUCTURE-NETHERLANDS                                                                                  29.5                    2
ANALYTICA CHIMICA ACTA                                                                                      29.2                  380
JOURNAL OF APPLIED POULTRY RESEARCH                                                                         28.5455                22
