/usr/bin/python3 /Users/christianzubcic/Documents/Monash University/2023/Semester 2/FYP/FYP/data/research_topics.py
AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
JOURNAL OF HERBS SPICES AND MEDICINAL PLANTS                                                               42                      1
HUMAN DIMENSIONS OF WILDLIFE                                                                               41.9167                12
AUSTRALIAN JOURNAL OF PSYCHOLOGY                                                                           41.85                  40
CLINICAL AND EXPERIMENTAL OPTOMETRY                                                                        41.7857                28
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH                                                     41.7742                62
COGENT ARTS & HUMANITIES                                                                                   41.7                   60
TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH                                41.6977                86
INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES                                                        41.6667                12
MOLLUSCAN RESEARCH                                                                                         41.6                    5
JOURNAL OF MUSICOLOGICAL RESEARCH                                                                          41.6                   15
COASTAL ENGINEERING JOURNAL                                                                                41.5455                11
CANADIAN JOURNAL OF REMOTE SENSING                                                                         41.5227                44
JOURNAL OF APPLIED WATER ENGINEERING AND RESEARCH                                                          41.4286                 7
INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING                                                              41.4194                31
INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE                                                            41.2041                98
INFOR                                                                                                      41.125                  8
JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS                                                              40.8571                 7
CANADIAN JOURNAL OF PAIN-REVUE CANADIENNE DE LA DOULEUR                                                    40.8333                 6
CLINICAL LINGUISTICS & PHONETICS                                                                           40.8293                82
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY                                                                 40.8286                70
TRIBOLOGY-MATERIALS SURFACES & INTERFACES                                                                  40.8                    5
COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE                                                         40.8                   30
AVIAN PATHOLOGY                                                                                            40.7429                70
CHEMISTRY AND ECOLOGY                                                                                      40.5385                13
AUSTRALIAN ARCHAEOLOGY                                                                                     40.5                   20
INORGANIC AND NANO-METAL CHEMISTRY                                                                         40.3778                45
JOURNAL OF DIETARY SUPPLEMENTS                                                                             40.2143                14
JOURNAL OF TRANSPORTATION SAFETY & SECURITY                                                                40.1613                31
BIRD STUDY                                                                                                 40.1296                54
APPLIED MATHEMATICS IN SCIENCE AND ENGINEERING                                                             40                      5
HYPERTENSION IN PREGNANCY                                                                                  40                     15
INVERTEBRATE REPRODUCTION & DEVELOPMENT                                                                    39.8333                24
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS                                                          39.6136                44
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY                                                                  39.5909                22
AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT                                                           39.4                   10
BIOCONTROL SCIENCE AND TECHNOLOGY                                                                          39.2687                67
INTERNET HISTORIES                                                                                         39.1667                 6
HUMAN VACCINES & IMMUNOTHERAPEUTICS                                                                        39.1561               173
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION                                                       39.0761                92
CRITICAL AFRICAN STUDIES                                                                                   39                      3
JOURNAL OF BIOLOGICALLY ACTIVE PRODUCTS FROM NATURE                                                        39                      4
INFORMATION SOCIETY                                                                                        39                      8
INTERNATIONAL JOURNAL OF SMART AND NANO MATERIALS                                                          39                      3
IISE TRANSACTIONS ON HEALTHCARE SYSTEMS ENGINEERING                                                        39                      1
